day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
69,0.55297,3.22739,3.18383,0.52055,2.91017,2.36565,0.91070,2.24778,2.04184,0.52012,0.86805,0.57095,0.47996,1.53763,1.53956,0.60247,1.31381,1.06770,1.25821,1.07458,1.89663,0.95574,2.04615,0.46075,1.49638,0.74752,2.62474,2.61828,3.12476
70,0.62617,3.23692,3.18325,0.66587,2.89899,2.35250,0.58567,2.10160,1.57705,0.68480,0.66156,0.68259,0.58502,1.58046,1.30966,0.74314,1.00887,0.92463,1.20594,0.74137,1.73194,0.73898,1.81891,0.83878,1.60767,1.02097,2.54924,2.62451,3.03063
71,0.67094,3.33295,3.28472,0.74630,2.98736,2.44676,0.66721,2.11392,1.63387,0.72613,0.75585,0.77749,0.69263,1.74580,1.46198,0.80796,1.15989,1.10629,1.36679,0.98341,1.84853,0.87358,1.81043,1.13818,1.67156,1.22032,2.64345,2.70378,3.06476
72,0.79268,3.43728,3.43060,0.87259,3.11783,2.55033,1.02419,2.21798,1.69559,0.79400,1.14124,0.86338,0.81676,2.06247,1.95329,0.95627,1.64491,1.49672,1.74684,1.45650,2.13456,1.31828,2.00698,1.58125,1.81761,1.52475,2.68621,2.83494,3.16953
73,0.88995,3.54559,3.58782,0.99699,3.23136,2.61519,0.93510,2.25717,1.83014,0.88457,1.07022,0.97053,0.92284,2.21134,2.03512,1.09073,1.77578,1.70917,1.95613,1.36478,2.28661,1.32576,2.12390,1.91042,2.00770,1.79947,2.69151,2.92318,3.24191
74,0.93775,3.56193,3.67399,1.01745,3.28502,2.65715,1.20197,2.24161,2.01395,0.92761,1.34413,1.02015,0.98096,2.04922,2.06350,1.07708,1.87792,1.78961,1.99691,1.64628,2.21034,1.58585,2.11711,1.94144,1.92655,1.85040,2.82462,2.93747,3.18204
75,1.10020,3.60697,3.70527,1.09629,3.29173,2.73276,2.06558,2.46953,2.00474,1.02569,2.06701,1.08949,1.12509,2.19308,2.36232,1.17231,2.32948,2.24126,2.24302,2.26709,2.31489,2.19576,2.34096,2.16836,2.07008,1.98427,2.64940,3.05302,3.29791
76,1.32631,3.70683,3.74695,1.17853,3.27747,2.86170,2.41081,2.68478,2.12404,1.13268,2.37087,1.15713,1.23143,2.38512,2.51531,1.29057,2.55828,2.47815,2.41346,2.55289,2.51547,2.48567,2.60312,2.38114,2.26483,2.19741,2.51455,3.18760,3.46660
77,1.48692,3.80319,3.79666,1.25072,3.26093,2.98530,2.75637,2.87609,2.26686,1.30967,2.69045,1.23002,1.30484,2.60993,2.74624,1.36278,2.79417,2.76015,2.65738,2.82318,2.76151,2.80250,2.79756,2.66034,2.44359,2.40833,2.48257,3.29125,3.62617
78,1.56685,3.89687,3.74415,1.33253,2.98146,3.10986,2.34243,3.07724,2.41166,1.49255,2.64391,1.33414,1.35947,2.80650,2.94275,1.45992,2.97249,2.95662,2.88454,2.93612,2.94534,2.92099,3.00301,2.90942,2.64318,2.55734,2.48883,3.37908,3.79128
79,1.54004,3.55693,3.52563,1.45200,2.69705,2.94591,1.41381,3.01251,2.42929,1.57505,1.57782,1.42792,1.38602,2.69490,2.73831,1.54057,2.64298,2.59778,2.68376,2.05209,2.79753,2.06933,2.88986,2.79806,2.64746,2.56565,2.38563,3.06699,3.51428
80,1.55414,3.69904,3.53928,1.57374,2.61983,3.09373,2.08703,3.21918,2.57547,1.68653,2.48308,1.53355,1.53542,2.95268,3.02123,1.66648,3.01504,3.05139,2.99674,2.88991,3.04698,2.95305,3.08717,3.07661,2.78906,2.66238,2.56458,3.13034,3.71453
81,1.69882,3.95433,3.73535,1.68029,2.88586,3.28604,3.19678,3.44558,2.81065,1.75489,3.23720,1.61775,1.70616,3.21365,3.34170,1.80735,3.38061,3.43156,3.32538,3.40395,3.29690,3.46240,3.30298,3.38852,2.97693,3.01424,2.76210,3.30704,4.00571
82,1.97483,4.26415,4.01592,1.79689,3.13264,3.53544,3.59431,3.70357,3.13412,1.86287,3.63865,1.71654,1.81365,3.58275,3.76699,1.97568,3.86636,3.97049,3.80471,3.84356,3.61789,3.92428,3.59694,3.85920,3.30577,3.42242,3.05466,3.54874,4.30243
