day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
65,68.13137,65.89933,66.11683,66.39225,65.46042,65.18808,67.30067,65.04021,65.11808,68.39675,66.87092,67.40350,67.44687,65.32146,65.52388,65.67496,65.82642,65.78050,65.45754,66.37125,65.33137,66.35433,65.11737,65.27896,65.17721,65.21292,65.22596,65.33300,65.38250
66,93.04650,106.62354,104.69687,98.99913,105.88204,109.24413,93.15467,109.01892,105.28454,92.29567,93.96883,98.85138,95.00596,101.48183,100.76854,103.08375,98.14513,96.46263,98.50517,95.95450,103.83071,95.09129,106.95783,99.70479,104.07021,102.07179,106.52038,109.53392,109.07162
67,131.27075,138.08754,137.52421,133.65912,136.82717,136.92279,132.06121,136.43875,135.69854,130.34825,132.33550,132.65425,132.45525,134.54046,134.29333,134.78479,133.56633,133.14513,133.73721,132.92117,135.10350,132.70329,135.87271,134.02638,135.23729,134.79712,136.46083,137.45908,138.14533
68,77.85579,83.96000,85.58713,78.01954,83.70129,81.53954,77.73908,80.60275,81.48050,78.21304,77.91367,78.72292,77.74167,79.91800,78.92679,78.57596,78.34454,78.49371,79.15962,78.11567,79.49375,78.16600,79.93379,82.38763,80.56142,81.37288,82.18258,82.37350,82.75117
69,24.74696,15.44075,14.53996,18.77858,14.89329,16.21138,20.03396,16.39958,15.49538,28.56513,19.16142,23.67208,20.78179,16.13529,16.83996,17.57592,17.36563,17.03779,16.36962,18.30267,16.61933,18.14333,16.48500,14.98758,15.89925,15.34062,15.38779,16.16954,16.85137
70,113.27321,112.50788,104.46642,111.61187,105.45358,112.65371,110.20867,112.07000,105.94887,113.94204,109.21329,114.72429,112.20633,106.46333,108.55825,111.75983,108.53029,106.77367,106.05287,108.88504,109.38721,108.05254,110.76604,99.91683,106.81225,103.37387,107.26712,114.43783,121.54104
71,128.26254,108.02454,105.03987,125.87233,110.90592,117.76238,126.09875,120.75479,118.29475,129.27192,125.41633,127.89250,126.88575,121.27867,123.28175,124.74446,124.29479,123.61467,122.38258,124.88600,122.39767,124.57842,121.85638,117.29875,120.29142,118.63267,115.38983,115.05242,113.75117
72,137.82283,138.45838,138.33863,138.00029,137.96742,138.03167,138.11104,137.82346,137.66287,137.46646,138.07079,137.86567,138.08712,137.76846,137.85233,137.90075,137.94012,137.94363,137.85946,138.00867,137.75775,138.01429,137.70592,137.79329,137.68537,137.68725,137.79954,138.31800,138.88633
73,117.88713,138.29463,137.17842,124.63292,136.70975,136.81975,119.76233,135.71996,134.46392,116.72683,121.09929,122.82892,120.41433,130.08988,128.15471,128.75358,125.47304,124.79392,127.23017,123.17921,130.96896,122.80442,133.67812,131.58100,132.61212,132.27042,135.85754,138.05067,139.69350
74,67.59117,77.18817,72.99325,67.23937,71.05033,73.11779,65.61404,71.32600,67.91321,68.44687,65.26958,69.38796,66.92271,66.22467,66.52867,68.31104,65.66646,64.57225,64.94342,65.45321,67.98404,64.91625,69.63946,63.54904,67.34392,65.57208,70.27300,75.60333,80.95688
75,88.80067,112.02567,106.80329,94.38433,105.51667,108.67167,88.87538,106.52529,101.82463,88.24221,89.66496,94.38563,90.55046,97.31217,96.37317,98.66137,93.58663,91.98663,94.09371,91.52679,99.79308,90.72117,103.41942,95.31279,100.15342,97.94467,104.76608,111.62450,117.88842
76,101.49021,133.31846,132.78683,110.76287,128.51325,125.88842,105.76117,122.87767,121.93962,97.71175,107.15458,107.01250,106.33850,116.74838,114.54321,115.00275,111.72008,111.08192,113.71504,109.32546,117.44704,108.95629,120.18763,119.10475,119.40850,119.41625,125.23796,129.13083,133.20713
77,66.61142,65.82187,63.94092,69.56892,65.02213,67.53158,69.15658,68.07237,66.86979,63.47296,69.09650,67.62500,69.31058,68.01804,68.82596,69.41183,69.17717,68.92650,68.52558,69.13854,68.41621,69.02096,68.20742,66.60229,67.56971,66.94213,66.23692,67.31587,68.79933
78,104.33296,109.95312,106.82883,105.46787,105.97704,108.36812,103.77542,107.42529,104.58913,103.39312,103.43812,106.47588,105.10325,103.79333,104.40950,106.16392,103.90121,102.84704,103.00725,103.65671,105.26700,103.12292,106.31083,101.69067,104.44388,102.99025,105.86942,109.86996,113.92133
79,41.40092,51.95133,53.48975,43.53413,51.09296,48.37242,42.98179,47.19867,48.14425,40.37517,43.43696,42.30117,42.64342,46.31792,45.12375,44.51483,44.35754,44.63733,45.47750,43.87288,45.86046,43.99621,46.46554,48.53037,47.06900,47.83079,49.27046,49.39600,49.77142
80,102.86100,93.32308,85.56604,99.27771,89.36642,99.36700,96.55058,100.17538,92.59258,105.89525,95.30696,105.80567,99.73117,92.90504,95.40250,99.88729,95.00579,92.47900,91.91333,95.15958,96.80242,93.92933,98.82608,85.34504,93.71942,89.37421,92.89208,99.58233,104.10729
81,160.95138,164.74483,164.49250,162.65383,164.47896,164.72258,161.74842,164.58292,164.11692,160.42788,162.05633,161.82088,161.73958,163.54846,163.33175,163.44113,162.91158,162.81429,163.16938,162.46388,163.77354,162.41896,164.24817,163.26063,163.90117,163.66308,164.44246,164.84004,164.65600
82,162.64654,160.74700,161.02650,163.73113,162.75729,163.73471,163.19242,164.66042,164.86979,162.60771,163.53075,163.13292,162.99079,164.80537,164.49513,164.26696,164.24650,164.36329,164.65596,163.87271,164.64579,163.92846,164.80292,165.32208,164.95050,165.12213,163.80246,162.72858,161.43917
83,124.91946,161.97987,164.02133,134.79350,160.38679,154.62921,130.18763,151.85238,154.01696,123.27517,132.87946,128.95592,128.75342,147.15792,142.59200,140.45062,138.90300,139.70371,143.52996,135.74325,146.06892,136.10458,149.15171,153.51346,150.45492,152.42538,156.58633,157.21254,158.71100
84,110.99833,133.57225,132.00487,117.58788,130.05658,129.89062,113.01158,128.09092,126.32637,109.21925,114.08283,115.78087,113.86200,122.07304,120.46329,121.34504,117.97321,117.15421,119.34733,115.93208,123.17275,115.48600,125.82979,122.88567,124.47142,123.85767,128.52429,131.97679,135.27608
85,157.10683,162.32937,159.84817,157.87846,159.20721,160.61442,157.06150,159.87396,158.12679,156.79958,157.02529,157.96271,157.47592,157.55846,157.74383,158.47950,157.37908,156.95104,157.09392,157.19242,158.34896,156.98888,159.10300,156.03621,157.98313,157.09133,159.10163,161.75217,164.60750
86,174.12958,176.39154,175.52346,174.26612,174.96704,175.33525,174.13646,174.99463,174.12325,174.11779,174.11554,174.09946,174.16587,174.00271,174.19000,174.46629,174.10583,173.96183,173.90333,174.11012,174.43917,174.05838,174.76479,172.54612,174.12075,173.51746,174.86013,175.67083,175.70733
87,152.41942,172.83421,169.88283,156.84746,167.62904,168.37108,152.93117,166.22554,163.33129,151.70179,153.58958,156.19879,153.97850,159.62029,158.66033,160.03800,156.53262,155.49754,157.17279,154.98633,161.22329,154.45992,163.85925,158.64983,161.78417,160.45288,166.13083,170.97700,175.25521
88,165.41338,170.02733,167.91425,167.45283,168.41596,170.50142,165.58117,170.39596,168.63629,164.74483,165.72475,167.30271,166.31342,167.65162,167.66483,168.65883,166.90712,166.24346,166.76596,166.28700,168.61671,165.94983,169.65588,166.48213,168.42054,167.50012,168.96258,170.92858,172.77163
89,153.91179,164.90496,164.53471,158.49029,165.34854,165.10379,155.85946,165.10887,165.68412,153.07950,156.97283,156.27692,155.68033,163.18758,161.50713,161.01479,159.89117,159.95104,161.60475,158.36208,162.99517,158.35883,164.31917,165.47921,164.59896,165.17683,165.40925,165.15779,165.81963
90,150.04829,127.13650,131.43683,148.22463,135.27288,136.05429,149.34700,139.52287,141.40050,149.37412,148.59958,149.12963,149.93675,144.38433,145.78492,146.04329,147.16063,147.00250,145.86962,147.91992,144.05721,147.80171,142.10188,143.83463,142.97117,143.29542,138.01229,131.61271,123.01821
